"id","title","status","type","year","semester","link","pid","image","departmentlink","department"
"iahperson_00000086","Diane Leonard","A","faculty fellow",1990,"Summer 1989","http://englishcomplit.unc.edu/people/leonardd",,"open-iconic/png/person-8x.png",,"English & Comparative Literature"
"iahperson_00000123","Geoffrey Sayre-McCord","A","faculty fellow",1990,"Spring 1990","http://philosophy.unc.edu/people/geoffrey-sayre-mccord/",,"http://philosophy.unc.edu/files/2013/10/Sayre-McCord.jpeg",,"Philosophy"
"iahperson_00000121","Gary W. Marks","A","faculty fellow",1990,"Fall 1989","http://politicalscience.unc.edu/staff/gary-marks/",,"http://politicalscience.unc.edu/files/2015/05/marks-e1433964727335.png",,"Political Science"
"iahperson_00000351","Rosa Perelmuter","A","faculty fellow",1990,"Spring 1990","http://romancestudies.unc.edu/faculty/rosa-perelmuter/",,"http://romancestudies.unc.edu/files/2015/06/Rosa-wpcf_300x300.jpg",,"Romance Studies"
"iahperson_00000320","Patrick P. O'Neill","A","faculty fellow",1991,"Fall 1990","http://englishcomplit.unc.edu/people/oneillp",,"http://englishcomplit.unc.edu/sites/default/files/pon2.JPG",,"English & Comparative Literature"
"iahperson_00000277","Mary Pardo","A","faculty fellow",1992,"Summer 1991","http://art.unc.edu/art-history/faculty/mary-pardo/",,"open-iconic/png/person-8x.png",,"Art"
"iahperson_00000313","Pamela Conover","A","faculty fellow",1992,"Fall 1991","http://politicalscience.unc.edu/staff/pamela-conover/",,"http://politicalscience.unc.edu/files/2015/05/conover.jpg",,"Political Science"
"iahperson_00000029","Bart Ehrman","A","faculty fellow",1992,"Spring 1992","http://religion.unc.edu/_people/full-time-faculty/ehrman/",,"http://religion.sites.unc.edu/files/2014/08/Ehrman.jpg",,"Religious Studies"
"iahperson_00000152","James W. Coleman","A","faculty fellow",1993,"Fall 1992","http://englishcomplit.unc.edu/people/colemanj",,"open-iconic/png/person-8x.png",,"English & Comparative Literature"
"iahperson_00000163","Jeanne Moskal","A","faculty fellow",1993,"Fall 1992","http://englishcomplit.unc.edu/people/moskalj",,"http://englishcomplit.unc.edu/sites/default/files/Mosgal.png",,"English & Comparative Literature"
"iahperson_00000185","John C. Chasteen","A","faculty fellow",1993,"Spring 1993","http://history.unc.edu/people/faculty/john-charles-chasteen/",,"http://history.unc.edu/files/2012/03/photo_small-81.jpeg",,"History"
"iahperson_00000190","John Nadas","A","faculty fellow",1993,"Spring 1993","http://music.unc.edu/people/musicfaculty/john-l-nadas/",,"http://music.unc.edu/files/2014/12/IMG_2033-768x512.jpg",,"Music"
"iahperson_00000008","Alicia Rivero","A","faculty fellow",1993,"Spring 1993","http://romancestudies.unc.edu/faculty/alicia-rivero/",,"http://romancestudies.unc.edu/files/2015/06/Rivero-Alicia-wpcf_300x300.jpg",,"Romance Studies"
"iahperson_00000193","John V. Orth","A","faculty fellow",1993,"Fall 1992","http://www.law.unc.edu/faculty/directory/orthjohnv/",,"http://static.law.unc.edu/images/image.ashx?personnelid=44&typeid=9",,"Law School"
"iahperson_00000223","Kenneth Janken","A","faculty fellow",1994,"Spring 1994","http://aaad.unc.edu/faculty-staff/kenneth-janken/",,"http://aaad.unc.edu/files/2014/02/janken_kenneth_15_016-smallest.jpg",,"Department of African, African American, and Diaspora Studies"
"iahperson_00000002","Adam Versenyi","A","faculty fellow",1994,"Fall 1993","http://drama.unc.edu/adam-versenyi/",,"http://drama.unc.edu/files/2013/11/adamversenyi.jpg",,"Dramatic Art"
"iahperson_00000184","John C. Boger","A","faculty fellow",1994,"Fall 1993","http://www.law.unc.edu/faculty/directory/bogerjohncharles/",,"http://static.law.unc.edu/images/image.ashx?personnelid=6&typeid=9",,"Law School"
"iahperson_00000205","Judith Wegner","A","faculty fellow",1994,"Spring 1994","http://www.law.unc.edu/faculty/directory/wegnerjudithwelch/",,,,"Law School"
"iahperson_00000456","Judith Wenger","A","faculty fellow",1994,"Spring 1994","http://www.law.unc.edu/faculty/directory/wegnerjudithwelch/",,"http://static.law.unc.edu/images/image.ashx?personnelid=53&typeid=9",,"Law School"
"iahperson_00000067","Craig Turner","A","faculty fellow",1995,"Summer 1994","http://drama.unc.edu/craig-turner/",,"http://drama.unc.edu/files/2013/11/craigturner.jpg",,"Dramatic Art"
"iahperson_00000343","Ritchie D. Kendall","A","faculty fellow",1995,"Fall 1994","http://englishcomplit.unc.edu/people/kendallr",,"http://englishcomplit.unc.edu/sites/default/files/kendallr.jpg",,"English & Comparative Literature"
"iahperson_00000189","John McGowan","A","faculty fellow",1995,"Fall 1994","http://englishcomplit.unc.edu/people/mcgowanj",,"http://englishcomplit.unc.edu/sites/default/files/mcgowanj2.jpg",,"English & Comparative Literature"
"iahperson_00000324","Peter Coclanis","A","faculty fellow",1995,"Summer 1994","http://history.unc.edu/people/faculty/peter-coclanis/",,"http://history.unc.edu/files/2012/03/coclanis-e1333656425186.jpg",,"History"
"iahperson_00000373","Simon Blackburn","A","faculty fellow",1995,"Fall 1994","http://philosophy.unc.edu/people/simon-blackburn/",,"http://philosophy.unc.edu/files/2013/10/Simon-Blackburn.jpeg",,"Philosophy"
"iahperson_00000093","Donald Searing","A","faculty fellow",1995,"Spring 1995","http://politicalscience.unc.edu/staff/donald-searing/",,"http://politicalscience.unc.edu/files/2015/05/searing.jpg",,"Political Science"
"iahperson_00000034","Beverly Taylor","A","faculty fellow","1995; 2017","Spring 1995; Spring 2017","http://englishcomplit.unc.edu/people/taylorb",704269284,"http://englishcomplit.unc.edu/sites/default/files/taylorb.jpg","http://englishcomplit.unc.edu/","English & Comparative Literature"
"iahperson_00000194","Jonathan Hartlyn","A","faculty fellow",1997,"Fall 1996","http://college.unc.edu/administrationcontacts/jonathan-hartlyn-senior-associate-dean-for-social-sciences-and-global-programs/",,"http://college.unc.edu/files/2012/01/Hartlyn_Jonathan-4-final-600x900.jpg",,"College of Arts and Sciences"
"iahperson_00000238","Lawrence Grossberg","A","faculty fellow",1997,"Fall 1996","http://comm.unc.edu/faculty-and-staff/faculty/lawrence-grossberg/",,"http://comm.unc.edu/files/2011/11/grossberg.jpeg",,"Communication"
"iahperson_00000146","James Leloudis","A","faculty fellow",1997,"Spring 1997","http://history.unc.edu/people/faculty/james-l-leloudis/",,"http://history.unc.edu/files/2012/06/p_biopic_leloudis.jpg",,"History"
"iahperson_00000254","Lynda Stone","A","faculty fellow",1997,"Fall 1996","http://soe.unc.edu/fac_research/faculty/stone.php",,"http://soe.unc.edu/fac_research/faculty/img_fac/stone.jpg",,"School of Education"
"iahperson_00000314","Pamela Cooper","A","faculty fellow",1998,"Fall 1997","http://englishcomplit.unc.edu/people/cooperp",,"http://englishcomplit.unc.edu/sites/default/files/cooperp.jpg",,"English & Comparative Literature"
"iahperson_00000200","Joy Kasson","A","faculty fellow",1998,"Spring 1998","http://englishcomplit.unc.edu/people/kassonj",,"http://englishcomplit.unc.edu/sites/default/files/kassonj1.jpg",,"English & Comparative Literature"
"iahperson_00000399","Theodore Leinbaugh","A","faculty fellow",1998,"Fall 1997","http://englishcomplit.unc.edu/people/leinbaught",,"open-iconic/png/person-8x.png",,"English & Comparative Literature"
"iahperson_00000083","Della Pollock","A","faculty fellow",1999,"Fall 1998","http://comm.unc.edu/faculty-and-staff/faculty/della-pollock/",,"http://comm.unc.edu/files/2011/11/pollock.jpeg",,"Communication"
"iahperson_00000405","Thomas Reinert","A","faculty fellow",1999,"Fall 1998","http://englishcomplit.unc.edu/people/reinertt",,"open-iconic/png/person-8x.png",,"English & Comparative Literature"
"iahperson_00000395","Terry McIntosh","A","faculty fellow",1999,"Fall 1998","http://history.unc.edu/people/faculty/terence-v-mcintosh/",,"open-iconic/png/person-8x.png",,"History"
"iahperson_00000270","Mark McCombs","A","faculty fellow",1999,"Spring 1999","http://math.unc.edu/people/faculty/mark-mccombs",,"http://math.unc.edu/people/images/copy_of_faculty/markmccombs.jpg/image_mini",,"Math"
"iahperson_00000268","Mark Evan Bonds","A","faculty fellow",1999,"Spring 1999","http://music.unc.edu/people/musicfaculty/mark-evan-bonds/",,"http://music.unc.edu/files/2014/12/Bonds-Web1.jpg",,"Music"
"iahperson_00000416","Valerie Ann (Johnson) Kaalund","A","faculty fellow",1999,"Fall 1998","http://www.law.unc.edu/faculty/directory/johnsonvaleriea/",,"http://static.law.unc.edu/images/image.ashx?personnelid=985&typeid=9",,"Law School"
"iahperson_00000013","Altha Cravey","A","faculty fellow",2000,"Spring 2000","http://craveya.web.unc.edu/",,"http://geography.unc.edu/files/2014/06/cravey.jpg",,"Geography"
"iahperson_00000249","Louis Perez","A","faculty fellow",2000,"Spring 2000","http://history.unc.edu/people/faculty/louis-a-perez-jr/",,"http://history.unc.edu/files/2012/03/photo_small-314.jpeg",,"History"
"iahperson_00000080","Debashis Aikat","A","faculty fellow",2000,"Spring 2000","http://mj.unc.edu/directory/faculty/debashis-aikat",,"open-iconic/png/person-8x.png",,"School of Media and Journalism"
