"source","source_text","target","target_text"
"iahperson_00000002","adam versenyi","sh0000240","dramaturg"
"iahperson_00000002","adam versenyi","sh0000440","religious studies"
"iahperson_00000003","afroz taj","sh0000018","india"
"iahperson_00000005","alan shapiro","sh0000042","literature"
"iahperson_00000005","alan shapiro","sh0000084","non-fiction"
"iahperson_00000005","alan shapiro","sh0000254","english"
"iahperson_00000005","alan shapiro","sh0000301","greek"
"iahperson_00000008","alicia rivero","sh0000081","digital humanities"
"iahperson_00000008","alicia rivero","sh0000088","authorship criticism"
"iahperson_00000008","alicia rivero","sh0000097","late 19th-21st century spanish-american literature"
"iahperson_00000008","alicia rivero","sh0000146","authorship theory"
"iahperson_00000008","alicia rivero","sh0000196","classics"
"iahperson_00000008","alicia rivero","sh0000308","history of ideas"
"iahperson_00000008","alicia rivero","sh0000310","environmental studies"
"iahperson_00000008","alicia rivero","sh0000357","writing"
"iahperson_00000008","alicia rivero","sh0000357","literary theory"
"iahperson_00000008","alicia rivero","sh0000359","comparative literature"
"iahperson_00000008","alicia rivero","sh0000432","race"
"iahperson_00000008","alicia rivero","sh0000436","reader response"
"iahperson_00000008","alicia rivero","sh0000454","decoding texts"
"iahperson_00000008","alicia rivero","sh0000477","spanish-american literature"
"iahperson_00000008","alicia rivero","sh0000478","spanish"
"iahperson_00000008","alicia rivero","sh0000479","spanish literatrure"
"iahperson_00000008","alicia rivero","sh0000499","20th century"
"iahperson_00000008","alicia rivero","sh0000548","cultural studies"
"iahperson_00000008","alicia rivero","sh0000579","fuentes"
"iahperson_00000008","alicia rivero","sh0000654","interrelations of literature and science"
"iahperson_00000008","alicia rivero","sh0000683","gender"
"iahperson_00000008","alicia rivero","sh0000002","huidobro"
"iahperson_00000008","alicia rivero","sh0000007","borges"
"iahperson_00000010","allen anderson","sh0000380","music"
"iahperson_00000010","allen anderson","sh0000383","music theory"
"iahperson_00000010","allen anderson","sh0000386","music analysis"
"iahperson_00000011","allen glazner","sh0000415","tectonics"
"iahperson_00000011","allen glazner","sh0000558","database mining"
"iahperson_00000011","allen glazner","sh0000593","geologic evolution of western north america"
"iahperson_00000011","allen glazner","sh0000603","geoinformatics"
"iahperson_00000011","allen glazner","sh0000663","igneous petrology"
"iahperson_00000011","allen glazner","sh0000680","gis"
"iahperson_00000013","altha cravey","sh0000046","borderlands"
"iahperson_00000013","altha cravey","sh0000235","third world"
"iahperson_00000013","altha cravey","sh0000344","latin american studies"
"iahperson_00000013","altha cravey","sh0000466","social theory"
"iahperson_00000013","altha cravey","sh0000524","women's studies"
"iahperson_00000014","alvaro reyes","sh0000079","comparative ethnic studies"
"iahperson_00000014","alvaro reyes","sh0000232","decolonization"
"iahperson_00000014","alvaro reyes","sh0000295","political geography"
"iahperson_00000014","alvaro reyes","sh0000313","colonialism"
"iahperson_00000014","alvaro reyes","sh0000572","global studies"
"iahperson_00000014","alvaro reyes","sh0000572","globalization"
